from,to,velocity,last_gaze_time,timestamp,duration
"(488, 756)","(995, 362)",1425.01408623353,1748857991.2933211,2025-06-02 15:23:11.743909,0.4505879878997803
"(1445, 923)","(660, 320)",1434.3741614042347,1748857994.0735633,2025-06-02 15:23:14.763666,0.6901028156280518
"(1431, 158)","(1535, 959)",1561.2390656095556,1748858129.8401651,2025-06-02 15:25:30.357525,0.5173604488372803
"(572, 674)","(828, 483)",1236.4874416919588,1748858293.5315256,2025-06-02 15:28:13.789838,0.2583131790161133
"(841, 142)","(1457, 705)",1217.0028322589976,1748858301.0328803,2025-06-02 15:28:21.718598,0.6857180595397949
"(1440, 850)","(453, 747)",1531.1958022257745,1748858302.7004063,2025-06-02 15:28:23.348500,0.648094654083252
"(1172, 347)","(484, 1045)",1833.1231284305416,1748858459.9489167,2025-06-02 15:31:00.483564,0.5346479415893555
"(1398, 223)","(936, 883)",1511.1821789605235,1748858464.3617852,2025-06-02 15:31:04.894899,0.5331141948699951
"(877, 857)","(1293, 343)",1218.6321488331348,1748858466.7685266,2025-06-02 15:31:07.311143,0.5426168441772461
"(1136, 429)","(697, 386)",1720.6111711611293,1748858473.5247636,2025-06-02 15:31:13.781126,0.2563629150390625
"(462, 396)","(1024, 590)",2172.888331865703,1748858475.4526172,2025-06-02 15:31:15.726235,0.273618221282959
"(1242, 653)","(579, 1005)",1326.2166158976406,1748858477.0011537,2025-06-02 15:31:17.567161,0.5660073757171631
"(847, 852)","(483, 301)",1228.4761639277228,1748858527.9619217,2025-06-02 15:32:08.499479,0.5375573635101318
"(497, 278)","(796, 477)",1388.5746030554885,1748858529.6112328,2025-06-02 15:32:09.869892,0.25865983963012695
"(1161, 551)","(800, 503)",1345.461100768274,1748858531.9678974,2025-06-02 15:32:12.238568,0.27067089080810547
"(1097, 290)","(730, 319)",1390.4780738514924,1748858578.5215735,2025-06-02 15:32:58.786334,0.26476073265075684
"(464, 457)","(965, 755)",2202.6998874552146,1748858580.7300665,2025-06-02 15:33:00.994709,0.26464247703552246
"(976, 812)","(1347, 493)",1202.8047286801207,1748858654.030745,2025-06-02 15:34:14.437533,0.40678858757019043
"(1304, 404)","(1048, 358)",1001.4378832678973,1748858655.4123666,2025-06-02 15:34:15.672093,0.25972652435302734
"(910, 828)","(502, 805)",1008.7266255378271,1748858664.6755247,2025-06-02 15:34:25.080637,0.40511250495910645
